track_uri,track,artist,artist_popularity,followers,artist_genre,track_popularity,album,playlist,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness,key
34ZAzO78a5DAVNrYIGWcPm,Shirt,SZA,95,9794006,"['pop', 'r&b']",88,Shirt,r&b,0.824,0.552,0.453,119.959,-9.604,0.0968,0.0273,0.0896,0.146,3
0q75NwOoFiARAVp4EXU4Bs,Love Galore (feat. Travis Scott),SZA,95,9794006,"['pop', 'r&b']",79,Ctrl,r&b,0.795,0.409,0.594,135.002,-6.2,0.0748,0,0.162,0.112,0
59tskctgqUmjCWAwhzYAFm,Looking at Me,Sabrina Carpenter,78,4841301,"['dance pop', 'pop', 'post-teen pop']",74,Singular Act II,r&b,0.681,0.516,0.798,105.99,-4.367,0.0375,5.11E-06,0.0542,0.00398,2
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,95,9794006,"['pop', 'r&b']",96,SOS,r&b,0.644,0.43,0.728,88.993,-5.75,0.0351,0.169,0.161,0.0543,8
2CSRrnOEELmhpq8iaAi9cd,Blind,SZA,95,9794006,"['pop', 'r&b']",89,SOS,r&b,0.461,0.599,0.279,114.225,-11.776,0.0373,0,0.205,0.911,9
1eIXYZWEfJO3Na2LCCnIJE,Love Language,SZA,95,9794006,"['pop', 'r&b']",87,SOS,r&b,0.707,0.545,0.261,65.038,-10.139,0.0784,0,0.127,0.853,9
5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,SZA,95,9794006,"['pop', 'r&b']",92,SOS,r&b,0.358,0.276,0.284,99.796,-8.285,0.0285,0,0.183,0.805,7
55S2PQgSMYAhgoTCcGCDfw,Youngblood,5 Seconds of Summer,79,9085579,"['boy band', 'dance pop', 'pop', 'post-teen pop']",69,Youngblood,pop,0.596,0.152,0.854,120.274,-5.114,0.463,0,0.124,0.0169,7
5SxkdsY1ufZzoq9iXceLw9,no tears left to cry,Ariana Grande,91,86525062,"['dance pop', 'pop']",0,no tears left to cry,pop,0.703,0.366,0.696,121.969,-5.482,0.0529,5.65E-06,0.274,0.0375,0
0S4RKPbRDA72tvKwVdXQqe,The Way,Ariana Grande,91,86525062,"['dance pop', 'pop']",68,Yours Truly,pop,0.645,0.862,0.878,82.324,-3.208,0.113,0,0.076,0.294,5
6e40mgJiCid5HRAGrbpGA6,I Want It That Way,Backstreet Boys,77,4929539,"['boy band', 'dance pop']",70,The Hits--Chapter One,pop,0.689,0.484,0.702,99.031,-5.642,0.0261,0,0.159,0.216,6
4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,87,33151535,"['dance pop', 'pop', 'r&b']",76,I AM...SASHA FIERCE,pop,0.508,0.472,0.72,79.983,-5.908,0.0628,0,0.0563,0.272,11
